,dt_duration_seconds,dt_end,dt_start,fit_batch_size,fit_num_classes,fit_num_epochs,fit_stopped_early,fit_stopper_patience,fit_test_acc,fit_train_acc,fit_train_loss,fit_val_acc,fit_val_loss,id,model_architecture,model_dropout,model_layer_1_sizefactor,model_layer_2_sizefactor,model_layer_3_sizefactor,model_num_features,model_sequence_length,param_count,pretrained_model_name,pretrained_model_pooling,shape_x_test,shape_y_train
79,281,2018-12-17 00:51:30,2018-12-17 00:46:48,32,2,15,True,10,0.822742474916388,0.8712881425353266,0.31610732320974577,0.9161234243648667,0.2883293903726228,294,LSTM,0.5,2,0,4,1536,3,7082498,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
57,44,2018-12-16 16:06:23,2018-12-16 16:05:39,32,2,3,True,5,0.8283828382838284,0.856286816969408,0.34497823385041637,0.9159809441574728,0.319799281989098,112,MLP,0.5,8,2,8,1536,1,1919042,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
173,89,2018-12-16 19:01:16,2018-12-16 18:59:47,32,2,3,True,5,0.8695652173913043,0.8710833503993447,0.3163413272443156,0.9156888312798176,0.33810633905345283,237,MLP,0.2,8,2,4,1536,3,4426370,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
102,78,2018-12-16 17:02:44,2018-12-16 17:01:26,32,2,6,True,5,0.8996655518394648,0.8693426172434978,0.32298994605692105,0.91568883122801,0.2692516844384518,160,MLP,0.5,1,8,8,1536,3,3724802,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
25,70,2018-12-16 16:41:34,2018-12-16 16:40:24,32,2,5,True,5,0.9331103678929766,0.8753839852427596,0.32182575766239013,0.915688830709934,0.2913594518289106,144,MLP,0.5,1,2,8,1536,3,4278338,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
99,36,2018-12-16 15:35:52,2018-12-16 15:35:15,32,2,4,True,5,0.8448844884488449,0.8695917123947206,0.31738004017573607,0.9155478562148116,0.27485161882269793,73,MLP,0.2,4,2,0,1536,1,1772546,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
229,52,2018-12-16 16:08:18,2018-12-16 16:07:25,32,2,7,True,5,0.8514851485148515,0.8868576071743265,0.284920131696474,0.9155478562148116,0.2675524671622921,114,MLP,0.5,8,4,0,1536,1,1476482,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
14,51,2018-12-16 15:53:32,2018-12-16 15:52:41,32,2,7,True,5,0.8679867986798679,0.88167783871623,0.2964340667091817,0.9151147682979645,0.27511089480687345,96,MLP,0.5,4,8,8,1536,1,1365506,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
181,31,2018-12-16 15:09:21,2018-12-16 15:08:50,32,2,4,True,5,0.8877887788778878,0.8621775340481839,0.34283225936616507,0.9146816803811174,0.27573257961240666,32,MLP,0.5,1,8,8,1536,1,1365506,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
279,42,2018-12-16 15:49:11,2018-12-16 15:48:28,32,2,5,True,5,0.933993399339934,0.8754824294734965,0.3052366477867319,0.9146816803811174,0.27371631997031226,90,MLP,0.5,4,8,0,1536,1,1328450,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
260,30,2018-12-16 15:15:44,2018-12-16 15:15:14,32,2,2,True,5,0.8745874587458746,0.8526305098638238,0.3512821659648561,0.9146816803811174,0.3666508862754389,43,MLP,0.2,2,2,2,1536,1,2363138,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
211,81,2018-12-16 17:44:53,2018-12-16 17:43:32,32,2,5,True,5,0.9331103678929766,0.8702641818554168,0.3221882331659382,0.9143850502632122,0.3021698178402085,190,MLP,0.5,2,8,4,1536,3,3762242,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
21,99,2018-12-16 19:18:31,2018-12-16 19:16:51,32,2,5,True,5,0.8729096989966555,0.8799918083023541,0.3040182553986997,0.9143850497451361,0.31777575044127354,247,MLP,0.2,8,4,8,1536,3,3909314,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
55,99,2018-12-16 18:43:23,2018-12-16 18:41:44,32,2,8,True,5,0.8929765886287625,0.8385214007782101,0.36803394450458765,0.9139504566082794,0.3086455570374401,226,MLP,0.5,8,0,0,1536,3,3541250,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
285,424,2018-12-17 00:05:05,2018-12-16 23:58:01,32,2,10,True,10,0.8160535117056856,0.8428220356460382,0.3740013560664329,0.9139504561420111,0.3887786203521793,286,LSTM,0.5,1,8,4,1536,3,19250498,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
284,52,2018-12-16 15:31:20,2018-12-16 15:30:28,32,2,13,True,5,0.8844884488448845,0.8484663822751158,0.34742831767949295,0.9138155045474231,0.28627926374524637,66,MLP,0.5,4,0,0,1536,1,1181954,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
118,71,2018-12-16 18:38:48,2018-12-16 18:37:36,32,2,2,True,5,0.939799331103679,0.8476346508416147,0.36617792222725914,0.9135158630051544,0.2862294305412213,223,MLP,0.2,4,8,8,1536,3,3724802,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
29,37,2018-12-16 15:56:55,2018-12-16 15:56:18,32,2,4,True,5,0.8118811881188119,0.8561852529066839,0.33934949817585797,0.913382416630576,0.30787744542487827,101,MLP,0.2,8,0,4,1536,1,1181954,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
245,77,2018-12-16 19:10:41,2018-12-16 19:09:23,32,2,2,True,5,0.8729096989966555,0.8499897603809944,0.35569367398620994,0.9130812688839534,0.27956232020565863,243,MLP,0.2,8,4,2,1536,3,4132226,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
50,86,2018-12-16 19:02:51,2018-12-16 19:01:24,32,2,3,True,5,0.8729096989966555,0.85920540651239,0.3357612305785602,0.9130812688321458,0.2884664914106504,238,MLP,0.5,8,2,4,1536,3,4426370,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
86,39,2018-12-16 15:38:33,2018-12-16 15:37:53,32,2,3,True,5,0.9042904290429042,0.8594353037008348,0.33941714566412096,0.912949328765357,0.347844869530836,76,MLP,0.5,4,2,2,1536,1,2363138,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
188,646,2018-12-17 00:25:32,2018-12-17 00:14:46,32,2,22,True,10,0.842809364548495,0.8631988531640385,0.34079818837703213,0.9126466751772132,0.33219413304525786,288,LSTM,0.5,1,8,8,1536,3,19213058,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
36,73,2018-12-16 18:55:47,2018-12-16 18:54:33,32,2,1,True,5,0.903010033444816,0.8270530411510127,0.38787201228821444,0.9122120815740882,0.2880812859027503,234,MLP,0.5,8,2,0,1536,3,4131842,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
106,29,2018-12-16 15:31:51,2018-12-16 15:31:22,32,2,3,True,5,0.8547854785478548,0.8428803574692639,0.35981101228373336,0.9120831529058487,0.298712868248296,67,MLP,0.2,4,0,2,1536,1,1181954,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
45,36,2018-12-16 15:54:11,2018-12-16 15:53:35,32,2,4,True,5,0.8712871287128713,0.8546617915783862,0.336842327208241,0.9120831529058487,0.2928390942801124,97,MLP,0.2,8,0,0,1536,1,1181954,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
121,387,2018-12-16 22:43:40,2018-12-16 22:37:12,32,2,9,True,10,0.8294314381270903,0.8402621339340569,0.383810317469942,0.9117774883336163,0.32664521467887747,276,LSTM,0.5,1,4,2,1536,3,19767938,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
96,313,2018-12-16 20:26:21,2018-12-16 20:21:08,32,2,7,True,10,0.8093645484949833,0.844665164845463,0.3577197592826791,0.9117774878673479,0.30335466098080816,258,LSTM,0.5,1,0,0,1536,3,18883586,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
97,44,2018-12-16 16:01:58,2018-12-16 16:01:14,32,2,3,True,5,0.9042904290429042,0.8700995327930927,0.31881097216395954,0.9116500649890016,0.271785913039307,107,MLP,0.2,8,2,2,1536,1,2363138,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
77,62,2018-12-16 15:59:23,2018-12-16 15:58:20,32,2,14,True,5,0.8481848184818481,0.862177533987647,0.3249017274733266,0.9116500649890016,0.2820060532838558,104,MLP,0.5,8,0,8,1536,1,1181954,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
238,33,2018-12-16 15:33:08,2018-12-16 15:32:35,32,2,5,True,5,0.8547854785478548,0.8698964046918592,0.31376118884141335,0.9116500649631876,0.28896031469661676,69,MLP,0.2,4,0,4,1536,1,1181954,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
44,32,2018-12-16 15:21:21,2018-12-16 15:20:49,32,2,3,True,5,0.8415841584158416,0.8519195612068223,0.35181320211508643,0.9112169770721544,0.33055748324881595,52,MLP,0.5,2,4,2,1536,1,1772930,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
137,34,2018-12-16 15:29:16,2018-12-16 15:28:41,32,2,3,True,5,0.933993399339934,0.8649197643592109,0.32470824518461383,0.9112169770721544,0.28357877364505574,63,MLP,0.2,2,8,8,1536,1,1365506,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
192,46,2018-12-16 15:45:00,2018-12-16 15:44:13,32,2,5,True,5,0.8250825082508251,0.883404428145761,0.2947311356327724,0.9112169770721544,0.26583443009631363,84,MLP,0.5,4,4,2,1536,1,1772930,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
